room_type,meal_type,segment,lead_time,price,id,adults,children,weekends,weekdays,repeat,requests,arrival_month,booking_status
0.0,3.0,4.0,54.0,116.1,0,2,0,0,1,0,0,5.0,1
0.0,3.0,4.0,12.0,71.87,1,1,0,3,6,0,1,11.0,1
1.0,0.0,4.0,34.0,71.55,2,2,0,0,2,0,1,1.0,0
0.0,0.0,2.0,4.0,66.0,3,1,0,2,1,1,0,2.0,0
0.0,0.0,3.0,155.0,72.25,4,2,0,2,3,0,0,7.0,0
3.0,0.0,3.0,106.0,46.67,5,2,0,0,3,0,1,2.0,0
0.0,3.0,3.0,3.0,96.8,6,2,0,2,3,0,1,5.0,0
0.0,0.0,2.0,33.0,88.0,7,1,0,0,1,1,1,11.0,0
0.0,0.0,3.0,15.0,85.33,8,1,0,0,3,0,0,2.0,0
0.0,0.0,4.0,121.0,74.54,9,2,0,2,3,0,0,5.0,0
0.0,0.0,4.0,325.0,189.55,10,1,0,2,3,0,1,11.0,1
3.0,0.0,1.0,0.0,0.0,11,1,0,0,1,1,2,2.0,0
0.0,0.0,3.0,315.0,52.0,12,2,0,0,2,0,0,12.0,0
0.0,1.0,3.0,80.0,100.0,13,1,0,2,1,0,0,4.0,1
0.0,0.0,3.0,276.0,99.88,14,2,0,2,3,0,0,5.0,1
1.0,1.0,3.0,161.0,130.0,15,2,0,1,2,0,0,3.0,1
0.0,0.0,4.0,58.0,96.3,16,2,0,1,2,0,2,11.0,0
0.0,0.0,3.0,14.0,73.0,17,2,0,0,1,0,0,5.0,0
0.0,0.0,4.0,18.0,98.57,18,2,0,2,5,0,2,8.0,1
0.0,0.0,2.0,12.0,65.0,19,2,0,0,3,0,0,8.0,0
0.0,3.0,4.0,53.0,88.0,20,2,0,0,2,0,1,11.0,1
0.0,0.0,4.0,443.0,99.88,21,2,0,0,1,0,0,4.0,1
0.0,0.0,4.0,21.0,105.0,22,2,0,2,2,0,3,9.0,0
0.0,0.0,2.0,105.0,65.0,23,1,0,0,1,1,0,9.0,0
3.0,0.0,4.0,95.0,131.4,24,2,0,0,3,0,1,8.0,0
0.0,3.0,4.0,1.0,99.0,25,2,0,0,1,0,0,6.0,0
0.0,0.0,3.0,32.0,73.0,26,1,0,0,2,0,0,11.0,0
0.0,0.0,3.0,164.0,100.0,27,1,0,0,2,0,0,10.0,0
0.0,0.0,3.0,304.0,99.88,28,2,0,0,3,0,0,11.0,1
0.0,0.0,3.0,279.0,110.0,29,2,0,0,3,0,0,10.0,1
0.0,0.0,4.0,5.0,99.88,30,1,0,2,5,0,0,2.0,1
0.0,0.0,4.0,58.0,99.3,31,2,0,0,3,0,0,8.0,0
0.0,0.0,3.0,145.0,72.76,32,2,0,0,1,0,0,7.0,0
0.0,1.0,4.0,80.0,99.88,33,1,0,1,2,0,0,9.0,0
0.0,0.0,2.0,22.0,65.0,34,1,0,0,1,0,0,12.0,0
0.0,1.0,4.0,58.0,130.13,35,2,0,0,1,0,0,4.0,0
3.0,0.0,4.0,135.0,132.3,36,2,0,2,1,0,0,10.0,1
0.0,0.0,3.0,150.0,68.0,37,1,0,1,4,0,0,7.0,0
0.0,0.0,4.0,10.0,129.0,38,1,0,1,0,0,1,10.0,0
3.0,0.0,4.0,35.0,137.34,39,2,0,2,3,0,2,9.0,0
0.0,3.0,4.0,0.0,129.0,40,1,0,0,1,0,2,6.0,0
0.0,1.0,3.0,80.0,100.0,41,1,0,2,1,0,0,4.0,1
0.0,0.0,3.0,58.0,52.0,42,2,0,0,2,0,0,11.0,1
0.0,0.0,0.0,11.0,95.0,43,1,0,5,10,0,0,5.0,1
0.0,0.0,3.0,53.0,120.0,44,1,0,0,1,0,0,10.0,0
0.0,3.0,4.0,35.0,71.1,45,2,0,0,2,0,0,3.0,0
0.0,0.0,3.0,19.0,80.0,46,1,0,0,3,1,0,10.0,0
0.0,1.0,2.0,1.0,146.0,47,2,0,0,3,0,0,9.0,0
0.0,0.0,3.0,110.0,70.0,48,2,0,0,4,0,1,12.0,0
0.0,0.0,4.0,42.0,113.6,49,2,1,2,2,0,0,3.0,1
0.0,0.0,4.0,96.0,118.8,50,2,0,0,4,0,2,10.0,0
0.0,0.0,3.0,10.0,63.58,51,2,0,1,3,0,1,3.0,0
0.0,0.0,4.0,54.0,62.37,52,2,0,2,8,0,0,7.0,0
0.0,0.0,4.0,164.0,100.0,53,1,0,0,2,0,0,10.0,1
0.0,0.0,4.0,349.0,78.3,54,2,0,2,1,0,0,12.0,1
0.0,0.0,4.0,0.0,106.2,55,2,0,0,3,0,1,9.0,0
3.0,0.0,4.0,172.0,107.1,56,3,0,2,1,0,1,8.0,1
0.0,0.0,3.0,276.0,61.0,57,2,0,2,3,0,0,5.0,1
5.0,1.0,4.0,151.0,217.6,58,2,2,2,3,0,2,8.0,1
0.0,3.0,4.0,52.0,79.2,59,2,0,0,2,0,2,11.0,0
0.0,0.0,3.0,202.0,80.24,60,2,0,2,5,0,0,6.0,0
0.0,0.0,3.0,128.0,43.43,61,2,0,2,5,0,1,2.0,0
0.0,0.0,3.0,75.0,80.0,62,2,0,1,3,0,0,3.0,1
1.0,0.0,4.0,179.0,103.69,63,2,0,0,2,0,0,8.0,1
0.0,0.0,4.0,35.0,63.06,64,2,0,0,3,0,1,3.0,0
5.0,0.0,4.0,87.0,187.85,65,2,2,4,10,0,1,5.0,1
0.0,0.0,4.0,9.0,154.4,66,2,1,2,3,0,2,3.0,0
0.0,0.0,3.0,86.0,96.9,67,3,0,2,2,0,0,7.0,0
0.0,0.0,2.0,5.0,100.0,68,2,0,2,0,1,0,9.0,0
0.0,0.0,1.0,1.0,0.0,69,1,0,0,1,0,1,9.0,0
0.0,0.0,4.0,182.0,96.94,70,2,0,2,5,0,1,3.0,1
3.0,0.0,4.0,52.0,152.1,71,2,1,2,0,0,1,7.0,0
0.0,1.0,3.0,58.0,115.0,72,2,0,0,2,0,1,9.0,1
0.0,1.0,4.0,10.0,174.0,73,2,0,1,4,0,1,4.0,1
0.0,0.0,2.0,17.0,80.0,74,2,0,0,2,0,1,3.0,0
0.0,0.0,3.0,93.0,115.0,75,1,0,2,1,0,0,10.0,1
0.0,0.0,3.0,146.0,95.0,76,2,0,2,0,0,0,4.0,1
1.0,0.0,4.0,130.0,102.58,77,2,0,1,2,0,1,3.0,0
0.0,1.0,4.0,188.0,164.25,78,2,1,1,1,0,1,8.0,1
0.0,0.0,1.0,9.0,99.88,79,2,0,0,2,0,0,10.0,0
0.0,0.0,4.0,32.0,74.8,80,1,0,4,9,0,1,11.0,1
0.0,0.0,4.0,128.0,120.0,81,2,0,1,2,0,0,6.0,1
0.0,3.0,4.0,133.0,118.8,82,2,0,0,4,0,3,9.0,0
4.0,0.0,2.0,7.0,86.0,83,1,0,0,2,0,0,2.0,0
0.0,0.0,4.0,49.0,98.1,84,2,0,0,2,0,1,12.0,0
0.0,3.0,4.0,9.0,149.0,85,2,0,0,1,0,1,9.0,0
0.0,3.0,4.0,5.0,84.96,86,2,1,0,1,0,1,8.0,0
0.0,0.0,4.0,1.0,111.0,87,2,0,0,1,0,0,7.0,0
0.0,3.0,4.0,20.0,88.0,88,2,0,1,2,0,1,12.0,0
0.0,3.0,4.0,18.0,78.17,89,1,0,2,5,1,0,10.0,0
