id,adults,children,weekends,weekdays,meal_type,room_type,arrival,lead_time,segment,repeat,price,requests,booking_status
0,2,0,0,1,Not Selected,Room_Type 1,2018-05-21,54.0,Online,0,116.1,0,1
1,1,0,3,6,Not Selected,Room_Type 1,2018-11-12,12.0,Online,0,71.87,1,1
2,2,0,0,2,Meal Plan 1,Room_Type 2,2018-01-06,34.0,Online,0,71.55,1,0
3,1,0,2,1,Meal Plan 1,Room_Type 1,2018-02-14,4.0,Corporate,1,66.0,0,0
4,2,0,2,3,Meal Plan 1,Room_Type 1,2018-07-08,155.0,Offline,0,72.25,0,0
5,2,0,0,3,Meal Plan 1,Room_Type 4,2018-02-16,106.0,Offline,0,46.67,1,0
6,2,0,2,3,Not Selected,Room_Type 1,2018-05-12,3.0,Offline,0,96.8,1,0
7,1,0,0,1,Meal Plan 1,Room_Type 1,2018-11-09,33.0,Corporate,1,88.0,1,0
8,1,0,0,3,Meal Plan 1,Room_Type 1,2018-02-18,15.0,Offline,0,85.33,0,0
9,2,0,2,3,Meal Plan 1,,2018-05-14,121.0,Online,0,74.54,0,0
10,1,0,2,3,Meal Plan 1,Room_Type 1,2018-11-06,325.0,Online,0,189.55,1,1
11,1,0,0,1,Meal Plan 1,Room_Type 4,2018-02-03,0.0,Complementary,1,0.0,2,0
12,2,0,0,2,Meal Plan 1,Room_Type 1,2018-12-02,315.0,Offline,0,52.0,0,0
13,1,0,2,1,Meal Plan 2,,2018-04-10,80.0,Offline,0,100.0,0,1
14,2,0,2,3,Meal Plan 1,Room_Type 1,2018-05-13,276.0,Offline,0,,0,1
15,2,0,1,2,Meal Plan 2,Room_Type 2,2018-03-25,161.0,Offline,0,130.0,0,1
16,2,0,1,2,Meal Plan 1,Room_Type 1,2017-11-06,,Online,0,96.3,2,0
17,2,0,0,1,Meal Plan 1,Room_Type 1,2018-05-27,14.0,Offline,0,73.0,0,0
18,2,0,2,5,Meal Plan 1,Room_Type 1,2017-08-29,18.0,Online,0,98.57,2,1
19,2,0,0,3,Meal Plan 1,Room_Type 1,2017-08-05,12.0,Corporate,0,65.0,0,0
20,2,0,0,2,Not Selected,Room_Type 1,2018-11-04,53.0,Online,0,88.0,1,1
21,2,0,0,1,Meal Plan 1,Room_Type 1,2018-04-29,443.0,Online,0,,0,1
22,2,0,2,2,Meal Plan 1,Room_Type 1,2017-09-05,21.0,Online,0,105.0,3,0
23,1,0,0,1,Meal Plan 1,Room_Type 1,2018-09-28,105.0,Corporate,1,65.0,0,0
24,2,0,0,3,Meal Plan 1,Room_Type 4,2018-08-25,95.0,Online,0,131.4,1,0
25,2,0,0,1,Not Selected,Room_Type 1,2018-06-14,1.0,Online,0,99.0,0,0
26,1,0,0,2,Meal Plan 1,Room_Type 1,2017-11-20,32.0,Offline,0,73.0,0,0
27,1,0,0,2,Meal Plan 1,Room_Type 1,2017-10-02,164.0,Offline,0,100.0,0,0
28,2,0,0,3,Meal Plan 1,Room_Type 1,2018-11-03,304.0,Offline,0,,0,1
29,2,0,0,3,Meal Plan 1,Room_Type 1,2018-10-12,279.0,Offline,0,110.0,0,1
30,1,0,2,5,Meal Plan 1,Room_Type 1,2018-02-20,5.0,Online,0,,0,1
31,2,0,0,3,Meal Plan 1,Room_Type 1,2018-08-24,,Online,0,99.3,0,0
32,2,0,0,1,Meal Plan 1,Room_Type 1,2018-07-01,145.0,Offline,0,72.76,0,0
33,1,0,1,2,Meal Plan 2,Room_Type 1,2018-09-26,80.0,Online,0,,0,0
34,1,0,0,1,Meal Plan 1,Room_Type 1,2017-12-18,22.0,Corporate,0,65.0,0,0
35,2,0,0,1,Meal Plan 2,Room_Type 1,2018-04-28,,Online,0,130.13,0,0
36,2,0,2,1,Meal Plan 1,Room_Type 4,2018-10-01,135.0,Online,0,132.3,0,1
37,1,0,1,4,Meal Plan 1,Room_Type 1,2018-07-04,150.0,Offline,0,68.0,0,0
38,1,0,1,0,Meal Plan 1,Room_Type 1,2017-10-19,10.0,Online,0,129.0,1,0
39,2,0,2,3,Meal Plan 1,Room_Type 4,2018-09-25,35.0,Online,0,137.34,2,0
40,1,0,0,1,Not Selected,Room_Type 1,2018-06-17,0.0,Online,0,129.0,2,0
41,1,0,2,1,Meal Plan 2,Room_Type 1,2018-04-10,80.0,Offline,0,100.0,0,1
42,2,0,0,2,Meal Plan 1,Room_Type 1,2018-11-18,,Offline,0,52.0,0,1
43,1,0,5,10,Meal Plan 1,Room_Type 1,2018-05-09,11.0,Aviation,0,95.0,0,1
